"File","RelativePath","Line","Column"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","149","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","150","9"
"Dema.Tests.cs","lib\trends_IIR\dema\Dema.Tests.cs","276","9"
"Ema.Tests.cs","lib\trends_IIR\ema\Ema.Tests.cs","169","9"
"Ema.Tests.cs","lib\trends_IIR\ema\Ema.Tests.cs","427","9"
"Ema.Tests.cs","lib\trends_IIR\ema\Ema.Tests.cs","612","9"
"Jma.Tests.cs","lib\trends_IIR\jma\Jma.Tests.cs","179","9"
"Kama.Tests.cs","lib\trends_IIR\kama\Kama.Tests.cs","239","9"
"Kama.Validation.Tests.cs","lib\trends_IIR\kama\Kama.Validation.Tests.cs","45","9"
"Kama.Validation.Tests.cs","lib\trends_IIR\kama\Kama.Validation.Tests.cs","46","9"
"Kama.Validation.Tests.cs","lib\trends_IIR\kama\Kama.Validation.Tests.cs","67","9"
"Kama.Validation.Tests.cs","lib\trends_IIR\kama\Kama.Validation.Tests.cs","68","9"
"Kama.Validation.Tests.cs","lib\trends_IIR\kama\Kama.Validation.Tests.cs","93","9"
"Kama.Validation.Tests.cs","lib\trends_IIR\kama\Kama.Validation.Tests.cs","94","9"
"Kama.Validation.Tests.cs","lib\trends_IIR\kama\Kama.Validation.Tests.cs","243","9"
"Kama.Validation.Tests.cs","lib\trends_IIR\kama\Kama.Validation.Tests.cs","244","9"
"Mama.Tests.cs","lib\trends_IIR\mama\Mama.Tests.cs","239","9"
"Mama.Tests.cs","lib\trends_IIR\mama\Mama.Tests.cs","336","9"
"Mama.Tests.cs","lib\trends_IIR\mama\Mama.Tests.cs","357","9"
"Mama.Tests.cs","lib\trends_IIR\mama\Mama.Tests.cs","394","9"
"Mama.Tests.cs","lib\trends_IIR\mama\Mama.Tests.cs","418","9"
"Mama.Validation.Tests.cs","lib\trends_IIR\mama\Mama.Validation.Tests.cs","22","9"
"Mama.Validation.Tests.cs","lib\trends_IIR\mama\Mama.Validation.Tests.cs","23","9"
"Mama.Validation.Tests.cs","lib\trends_IIR\mama\Mama.Validation.Tests.cs","54","9"
"Mama.Validation.Tests.cs","lib\trends_IIR\mama\Mama.Validation.Tests.cs","55","9"
"Mama.Validation.Tests.cs","lib\trends_IIR\mama\Mama.Validation.Tests.cs","86","9"
